,Tag_Id,dominant_topic,Id,Topics,Tags,Department
1383,1383,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1384,1384,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1385,1385,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1386,1386,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1387,1387,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1388,1388,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1389,1389,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1390,1390,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1391,1391,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1392,1392,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1393,1393,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1394,1394,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1395,1395,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1396,1396,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1397,1397,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1398,1398,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1399,1399,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1400,1400,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1401,1401,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1402,1402,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1403,1403,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1404,1404,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
1405,1405,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1406,1406,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1407,1407,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1408,1408,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1409,1409,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1410,1410,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1411,1411,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1412,1412,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1413,1413,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1414,1414,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1415,1415,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1416,1416,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
1417,1417,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
